title,publication_year,cited_by_count,journal,type,primary_topic,keywords,doi
Vogel's Textbook of Practical Organic Chemistry,2003,6790,,book,,"['Alicyclic compound', 'Organic chemistry', 'Chemistry', 'Organic synthesis', 'Reagent', 'Organic compound', 'Physical organic chemistry', 'Catalysis']",
Environmental Organic Chemistry,2002,4903,,book,,"['Environmental chemistry', 'Chemistry', 'Environmental science']",https://doi.org/10.1002/0471649643
Solvents and Solvent Effects in Organic Chemistry,2002,5796,,book,,"['Chemistry', 'Organic solvent', 'Solvent', 'Organic chemistry', 'Environmental chemistry', 'Chemical engineering', 'Engineering']",https://doi.org/10.1002/3527601791
"Advanced Organic Chemistry: Reactions, Mechanisms, and Structure",1977,4035,Andalas University Repository (Andalas University),article,,"['Chemistry', 'Carbocation', 'Radical', 'Electrophile', 'Electrophilic substitution', 'Delocalized electron', 'Carbanion', 'Substitution reaction', 'Electrophilic aromatic substitution', 'Reactivity (psychology)', 'Nucleophilic substitution', 'Covalent bond', 'Nitrene', 'Radical-nucleophilic aromatic substitution', 'Nucleophile', 'Organic chemistry', 'Radical substitution', 'Pericyclic reaction', 'Photochemistry', 'Nucleophilic aromatic substitution']",
A Text-Book of Practical Organic Chemistry,1948,3499,Nature,article,,"['Chemistry', 'Data science', 'Computer science']",https://doi.org/10.1038/161995c0
Photoredox Catalysis in Organic Chemistry,2016,3232,The Journal of Organic Chemistry,article,,"['Photoredox catalysis', 'Chemistry', 'Catalysis', 'Organic synthesis', 'Heteroatom', 'Carbon fibers', 'Electron transfer', 'Organic molecules', 'Reactive intermediate', 'Nanotechnology', 'Photochemistry', 'Combinatorial chemistry', 'Organic chemistry', 'Molecule', 'Photocatalysis', 'Materials science']",https://doi.org/10.1021/acs.joc.6b01449
Solvents and Solvent Effects in Organic Chemistry,2010,4290,,book,,"['Chemistry', 'Organic solvent', 'Organic chemistry', 'Solvent', 'Environmental chemistry', 'Chemical engineering', 'Engineering']",https://doi.org/10.1002/9783527632220
The Chemistry and Applications of Metal-Organic Frameworks,2013,17010,Science,article,,"['Porosity', 'Metal-organic framework', 'Molecule', 'Chemistry', 'Chemical engineering', 'Nanotechnology', 'Materials science', 'Organic chemistry', 'Adsorption']",https://doi.org/10.1126/science.1230444
Comprehensive organic chemistry,1978,2798,Tetrahedron Letters,article,,"['Chemistry', 'Organic chemistry']",https://doi.org/10.1016/s0040-4039(01)85753-1
Industrial Organic Chemistry,1997,1877,,book,,"['Chemistry', 'Environmental chemistry', 'Biochemical engineering', 'Environmental science', 'Engineering']",https://doi.org/10.1002/9783527616688
Modern physical organic chemistry,2006,2369,Choice Reviews Online,book-review,,"['Pericyclic reaction', 'Chemistry', 'Supramolecular chemistry', 'Physical organic chemistry', 'Catalysis', 'Organic reaction', 'Computational chemistry', 'Kinetics', 'Reaction mechanism', 'Organic chemistry', 'Photochemistry', 'Molecule']",https://doi.org/10.5860/choice.43-3398
The Sonogashira Reaction: A Booming Methodology in Synthetic Organic Chemistry,2007,2952,Chemical Reviews,review,,"['Sonogashira coupling', 'Citation', 'Chemistry', 'Citation database', 'Computer science', 'Information retrieval', 'Library science', 'World Wide Web', 'Organic chemistry', 'MEDLINE', 'Palladium']",https://doi.org/10.1021/cr050992x
Advanced organic chemistry,1993,1924,Endeavour,article,,"['Chemistry', 'Catalysis', 'Hydrogen peroxide', 'Hydroxyl radical', 'Environmental remediation', 'Inorganic chemistry', 'Environmental chemistry', 'Radical', 'Organic chemistry', 'Contamination']",https://doi.org/10.1016/0160-9327(93)90217-q
Physical organic chemistry,1956,1952,Journal of the Franklin Institute,article,,"['Glaze', 'Raman spectroscopy', 'Potash', 'Chemistry', 'Mineralogy', 'Materials science', 'Analytical Chemistry (journal)', 'Metallurgy', 'Ceramic', 'Optics', 'Potassium', 'Environmental chemistry']",https://doi.org/10.1016/0016-0032(56)91284-4
"March's Advanced Organic Chemistry: Reactions, Mechanisms, and Structure",2007,2105,,article,,"['Chemistry', 'Organic reaction', 'Primary (astronomy)', 'Organic synthesis', 'Scope (computer science)', 'Organic chemistry', 'Physical organic chemistry', 'Computer science', 'Catalysis', 'Physics']",https://doi.org/10.1002/0470084960
Organic chemistry in water,2005,1329,Chemical Society Reviews,review,,"['Pericyclic reaction', 'Chemistry', 'Organic reaction', 'Reactivity (psychology)', 'Carbocation', 'Organic chemistry', 'Aqueous solution', 'Catalysis', 'Carbanion', 'Solvent', 'Green chemistry', 'Organic synthesis', 'Reaction mechanism']",https://doi.org/10.1039/b507207g
March's Advanced Organic Chemistry,2006,1822,,book,,"['Environmental chemistry', 'Chemistry', 'Environmental science', 'Astrobiology', 'Nanotechnology', 'Materials science', 'Physics']",https://doi.org/10.1002/0470084960
Physical Organic Chemistry,1941,1187,Nature,article,,"['Physical organic chemistry', 'Chemistry', 'Subject (documents)', 'Computational chemistry', 'Thermodynamics', 'Physical chemistry', 'Physics', 'Computer science', 'Library science']",https://doi.org/10.1038/147101a0
Mathematical Concepts in Organic Chemistry,1986,1240,,book,,"['Chemistry', 'Computer science']",https://doi.org/10.1007/978-3-642-70982-1
Advanced organic chemistry,1985,1419,Journal of Organometallic Chemistry,book-review,,"['Chemistry', 'Organic chemistry', 'Nanotechnology']",https://doi.org/10.1016/0022-328x(85)80425-3
An Introduction to Organic Chemistry,1922,1033,Nature,article,,"['Chemistry', 'Environmental chemistry', 'Polymer science']",https://doi.org/10.1038/109039d0
Spectroscopic Methods in Organic Chemistry,2008,1566,,book,,"['Chemistry', 'Nanotechnology', 'Environmental chemistry']",https://doi.org/10.1055/b-003-108602
Environmental organic chemistry,1993,1341,Choice Reviews Online,book-review,,"['Environmental chemistry', 'Chemistry', 'Environmental science', 'Polymer science']",https://doi.org/10.5860/choice.30-6184
Organic Chemistry,2012,906,Oxford University Press eBooks,book,,"['Pericyclic reaction', 'Chemistry', 'Regioselectivity', 'Organic synthesis', 'Organic reaction', 'Chemoselectivity', 'Nucleophile', 'Stereoselectivity', 'Organic chemistry', 'Computational chemistry', 'Alkylation', 'Catalysis']",https://doi.org/10.1093/hesc/9780199270293.001.0001
Structure and Mechanism in Organic Chemistry,1953,1472,Medical Entomology and Zoology,book,,"['Mechanism (biology)', 'Chemistry', 'Environmental chemistry', 'Epistemology', 'Philosophy']",
