title,publication_year,cited_by_count,journal,type,primary_topic,keywords,doi
Hypoxia-responsive supramolecular systems based on macrocycles and self-assembly structures.,2027,0,PubMed,article,Supramolecular Chemistry and Complexes,"['Supramolecular chemistry', 'Cancer therapy', 'Fluorescence', 'Cytotoxicity', 'Site of action', 'Cancer treatment', 'Tumor cells', 'Chemical sensor']",https://doi.org/10.4103/mgr.medgasres-d-25-00145
"Averrhoa bilimbi L. Juice: An efficient natural acid catalyst for the green synthesis of dihydropyrimidinone-1,2,3-triazole.",2026,0,PubMed,article,Multicomponent Synthesis of Heterocycles,"['Catalysis', 'Green chemistry', 'Raw material', 'Biginelli reaction', 'Reaction conditions']",https://doi.org/10.1016/j.mex.2026.104106
"Probing metabolic integration in obligate, intracellular symbioses",2026,0,MPG.PuRe (Max Planck Society),article,Microbial Metabolic Engineering and Bioproduction,"['Symbiosis', 'Intracellular', 'Ectotherm', 'Bacteria']",
Synergistic enzyme-nanozyme catalysis on a porous carbon electrode for sensitive L-phenylalanine sensing,2026,0,Institutional Repositories DataBase (IRDB),article,Advanced Nanomaterials in Catalysis,"['Prussian blue', 'Electrode', 'Biosensor', 'Catalysis', 'Cascade', 'Detection limit', 'Electrochemistry', 'Nanoparticle']",
Faculty Authors & Achievers Bibliography 2026,2026,0,Hollins Digital Commons (Hollins University),article,Literature Analysis and Criticism,"['Bibliography', 'Academic library', 'Annotated bibliography', 'Academic year']",
The Various Applications of Graphene Oxide (GO) Nanoparticles: A Comprehensive Review,2026,0,Zenodo (CERN European Organization for Nuclear Research),article,Graphene research and applications,"['Graphene', 'Oxide', 'Nanomaterials', 'Exfoliation joint', 'Fabrication', 'Adsorption']",https://doi.org/10.5281/zenodo.22720395
The Various Applications of Graphene Oxide (GO) Nanoparticles: A Comprehensive Review,2026,0,Zenodo (CERN European Organization for Nuclear Research),article,Graphene research and applications,"['Graphene', 'Oxide', 'Nanomaterials', 'Exfoliation joint', 'Fabrication', 'Adsorption']",https://doi.org/10.5281/zenodo.22720394
IMSA 2026 Profile,2026,0,DigitalCommons-IMSA (Illinois Mathematics and Science Academy),article,Earthquake and Disaster Impact Studies,"['Curriculum', 'Hearsay', 'State (computer science)', 'Graduate students', 'Engineering education']",
Emerging two-dimensional materials in PFAS remediation: a comprehensive review of adsorption mechanisms and efficiency,2026,0,Environmental Science and Pollution Research,article,Per- and polyfluoroalkyl substances research,"['Adsorption', 'Ecotoxicology', 'Water pollution', 'Water pollutants']",https://doi.org/10.1007/s11356-026-38227-4
Divergent Single‐Oxygen Transmutation of Furans,2026,0,Angewandte Chemie,article,Synthesis and characterization of novel inorganic/organometallic compounds,"['Nuclear transmutation', 'Furan', 'Mechanochemistry', 'Inert', 'Oxygen', 'Work (physics)']",https://doi.org/10.1002/ange.4084841
Biodegradable Neo-Bone-Responsive Scaffold Fabricated by Organic–Inorganic Click Fumarate Polymers for Bone Tissue Engineering,2026,0,ACS Applied Polymer Materials,article,Bone Tissue Engineering Materials,"['Scaffold', 'Biocompatibility', 'Polycaprolactone', 'Bioorthogonal chemistry', 'Silsesquioxane', 'Tissue engineering', 'In vivo', 'Bone tissue', 'Click chemistry']",https://doi.org/10.1021/acsapm.6c01929
Single-Particle Visualization of Water Uptake of Organic–Inorganic Aerosols with In Situ Transmission Electron Microscopy,2026,0,ACS ES&T Air,article,Atmospheric chemistry and aerosols,"['Dissolution', 'Aerosol', 'Relative humidity', 'Precipitation', 'Phase (matter)', 'Adsorption', 'Sodium', 'Transmission electron microscopy']",https://doi.org/10.1021/acsestair.6c00332
Photochemical Synthesis of 1-Propyl-3-phenylquinoxalin-2(1 H )-one: An Undergraduate Laboratory Experiment,2026,0,Journal of Chemical Education,article,Synthesis and Biological Evaluation,"['Reagent', 'Phenylhydrazine', 'Inert', 'Green chemistry', 'Organic synthesis', 'Chemical laboratory', 'Blue light']",https://doi.org/10.1021/acs.jchemed.6c00643
Weakening conjugation of organic cyclic additives towards advanced aqueous zinc-ion batteries,2026,0,Journal of Power Sources,article,Advanced battery technologies research,"['Aqueous solution', 'Electrolyte', 'Passivation', 'Adsorption', 'Solvation', 'Zinc', 'Battery (electricity)', 'Hydrogen', 'Decomposition']",https://doi.org/10.1016/j.jpowsour.2026.241553
Development and Validation of A Reverse Phase High Performance Liquid Chromatography (Rp-Hplc) Method for The Estimation of Process Related Impurity from Lobeglitazone Sulfate,2026,0,International Journal of Drug Delivery Technology,article,Analytical Methods in Pharmaceuticals,"['Process (computing)', 'Impurity', 'Phase (matter)', 'High-performance liquid chromatography', 'Process development', 'Sulfate']",https://doi.org/10.25258/ijddt.16.6.1
Divergent Single‐Oxygen Transmutation of Furans,2026,0,Angewandte Chemie International Edition,article,Synthesis and characterization of novel inorganic/organometallic compounds,"['Nuclear transmutation', 'Furan', 'Mechanochemistry', 'Inert', 'Oxygen', 'Work (physics)']",https://doi.org/10.1002/anie.4084841
Surface Chemistry Affinity-Driven Self-Assembly of Uniform Al2O3 Coatings on Ni-Rich LiNi0.8Co0.1Mn0.1O2 Cathodes Toward Durable Lithium-Ion Batteries for Stationary Energy Storage,2026,0,Langmuir,article,Advancements in Battery Materials,"['Boehmite', 'Coating', 'Cathode', 'Nanoparticle', 'Etching (microfabrication)', 'Particle (ecology)', 'Range (aeronautics)', 'Surface energy']",https://doi.org/10.1021/acs.langmuir.6c05036
"Robust, randomized preconditioning for kernel ridge regression",2026,1,Advances in Computational Mathematics,article,Sparse and Compressive Sensing Techniques,"['Mathematics', 'Kernel (algebra)', 'Eigenvalues and eigenvectors', 'Ridge', 'Polynomial regression', 'Matrix (chemical analysis)', 'Range (aeronautics)', 'Polynomial', 'Algorithm', 'Regression', 'Mathematical optimization', 'Combinatorics', 'Applied mathematics', 'Statistics', 'Mathematical analysis', 'Engineering']",https://doi.org/10.1007/s10444-026-10360-1
"Coordinated action of RAB11, Sec4, myosin V, and the exocyst governs Aspergillus nidulans tip growth.",2026,0,PubMed,article,Fungal and yeast genetics research,"['Exocyst', 'Vesicular Transport Proteins', 'Endocytosis', 'Exocytosis', 'Transport protein', 'Membrane', 'Vesicle']",https://doi.org/10.1016/j.isci.2026.117333
"Специфика осадконакопления оз. Черное, Магаданская область: петромагнитные свидетельства",2026,0,Bulletin of the North-East Science Center,article,Geomagnetism and Paleomagnetism Studies,"['Sedimentation', 'Sediment', 'Rock magnetism', 'Grain size', 'Paleomagnetism']",https://doi.org/10.34078/1814-0998-2026-3-18-35
Rational Assembly of Multifunctional Fe/Mn MOF through Mixed-Linker and Defect Engineering for CO2 Cycloaddition Reaction,2026,0,Inorganic Chemistry,article,Carbon dioxide utilization in catalysis,"['Cycloaddition', 'Catalysis', 'Bimetallic strip', 'Rational design', 'Epoxide', 'Lewis acids and bases', 'Linker', 'Synergistic catalysis']",https://doi.org/10.1021/acs.inorgchem.6c03014
Bridging electrochemical desalination and energy storage: Coordination chemistry of organic electrode materials for capacitive deionization and aqueous batteries,2026,0,Coordination Chemistry Reviews,article,Membrane-based Ion Separation Techniques,"['Capacitive deionization', 'Aqueous solution', 'Bridging (networking)', 'Electrochemistry', 'Electrode', 'Coordination complex', 'Desalination']",https://doi.org/10.1016/j.ccr.2026.218548
POLİANİLİN-TƏKQAT KARBON NANOBORU ƏSASLI HİBRİD QAZ SENSORUNUN SİNTEZİ VƏ XARAKTERİSTİKALARI,2026,0,Scientific Journal,article,Ottoman and Turkish Studies,"['Yield (engineering)', 'Process (computing)', 'Context (archaeology)']",https://doi.org/10.30546/emnaa.2025.27.02.210
Recent Advances in Albumin Stabilization: Impact on Therapeutic Applications,2026,0,International Journal of Drug Delivery Technology,article,Protein Interaction Studies and Fluorescence Analysis,"['Albumin', 'Human albumin', 'Disease', 'Serum albumin']",https://doi.org/10.25258/ijddt.16.83s.105
Optical properties in uv wavelength range of amorphous perfluorinated polymers based on dioxols and vinyl ethers and their application for formation of ultrathin protective pellicles,2026,0,FLUORINE NOTES,article,Synthesis and properties of polymers,"['Polymer', 'Amorphous solid', 'Wavelength', 'Range (aeronautics)']",https://doi.org/10.17677/fn20714807.2026.04.02
Environment‐Regulated Crystal‐Structure Reconfiguration of Hybrid Halide Scintillators Enables Tunable STE Emission Toward Intelligent X‐Ray Imaging,2026,0,Angewandte Chemie,article,Perovskite Materials and Applications,"['Scintillator', 'Scintillation', 'Photoluminescence', 'Luminescence', 'Quantum yield', 'Control reconfiguration', 'Halide', 'Photon', 'Crystal structure']",https://doi.org/10.1002/ange.4761895
IONIC LIQUID PURIFICATION OF PETROLEUM DISTILLATES,2026,0,Scientific Journal,article,Extraction and Separation Processes,"['Distillation', 'Petroleum', 'Diesel fuel', 'Ionic liquid', 'Kerosene', 'Environmentally friendly', 'Petroleum product', 'Extraction (chemistry)']",https://doi.org/10.30546/emnaa.2026.02.28.145
Single‐Particle FRET Probes Heterogeneity in the Ligand Shell of Colloidal Perovskite Quantum Dots,2026,0,Advanced Materials,article,Perovskite Materials and Applications,"['Quantum dot', 'Förster resonance energy transfer', 'Ligand (biochemistry)', 'Perovskite (structure)', 'Photoluminescence', 'Colloid', 'Halide', 'Spectroscopy']",https://doi.org/10.1002/adma.75051
Nanoscale Chemical Imaging of Soot and Brown Carbon Components in Individual Atmospheric Particles,2026,0,Analytical Chemistry,article,Atmospheric chemistry and aerosols,"['Soot', 'Aerosol', 'Carbon fibers', 'Spectroscopy', 'Deconvolution', 'Particle (ecology)', 'Characterization (materials science)', 'Absorption (acoustics)', 'Nanoscopic scale']",https://doi.org/10.1021/acs.analchem.6c04225
L’Oréal’s sustainability strategies: Text mining of environmental disclosures in the cosmetics industry,2026,0,Accounting and Management Information Systems,article,Environmental Sustainability in Business,"['Sustainability', 'Mining industry', 'Cosmetics', 'Sustainability reporting']",https://doi.org/10.24818/jamis.2026.03002
Molecular and biophysical foundations of nano-enabled seed priming and smart nanocarriers for crop stress alleviation,2026,0,Frontiers in Plant Science,article,Advanced Nanomaterials in Catalysis,"['Radicle', 'Crop productivity', 'Nanocarriers', 'Abiotic stress', 'Priming (agriculture)', 'Translation (biology)', 'Nanotoxicology', 'Complementarity (molecular biology)']",https://doi.org/10.3389/fpls.2026.1954570
Environment‐Regulated Crystal‐Structure Reconfiguration of Hybrid Halide Scintillators Enables Tunable STE Emission Toward Intelligent X‐Ray Imaging,2026,0,Angewandte Chemie International Edition,article,Perovskite Materials and Applications,"['Scintillator', 'Luminescence', 'Scintillation', 'Photoluminescence', 'Control reconfiguration', 'Quantum yield', 'Halide', 'Photon', 'Crystal structure']",https://doi.org/10.1002/anie.4761895
"Instructor’s Psychological Needs Support and Chemistry Academic Performance: The Mediating Roles of Self-Efficacy, Science Motivation, and Engagement Among Filipino MLS Students",2026,0,Medical Science Educator,article,Motivation and Self-Concept in Sports,"['Association (psychology)', 'Mediation', 'Structural equation modeling', 'Confidence interval', 'Self-determination theory', 'Higher education', 'Cognition', 'Chemistry education']",https://doi.org/10.1007/s40670-026-02891-5
